id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
miles_al,Miles AL,-26.6581,150.1808,303.0,299.13,3.87,3.87,1m,,close,QLD Government,Miles_2010_Twn_SW_218000_7048000_2K_DEM_1m.tif
gleneagle_al,Gleneagle AL,-18.1919,145.3325,574.3,570.45,3.85,3.85,50cm,,close,DCCEEW,Herbert1Lidar2020-DEM-0_5_3237987_55_0001_0001.tif
portside_al,Portside AL,-25.5392,152.7068,5.8,1.95,3.85,3.85,1m,,close,QLD Government,Maryborough_2015_Twn_SW_470000_7175000_1K_DEM_1m.tif
clump_point_tide_ale,Clump Point Tide AL,-17.8503,146.1061,3.2,-0.64,3.84,3.84,50cm,,close,Griffith Uni,Innisfail201807-DEM-GRID-50cm_4058026_55_0001_0001.tif
mackay_al,Mackay AL,-21.1397,149.1883,9.9,6.07,3.83,3.83,1m,,close,QLD Government,Mackay_2021_Prj_SW_727000_7660000_1k_DEM_1m.tif
netherdale_al,Netherdale AL,-21.1383,148.5286,175.8,171.97,3.83,3.83,1m,,close,QLD Government,Mackay_2009_Rgn_SW_658000_7660000_2K_DEM_1m.tif
weetalaba_al,Weetalaba AL,-21.0428,147.9417,204.5,200.7,3.8,3.8,50cm,,close,Griffith Uni,Proserpine201806-DEM-GRID-50cm_5977672_55_0001_0001.tif
seven_oaks_al,Seven Oaks AL,-26.7042,150.7631,317.0,313.21,3.79,3.79,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
peacock_siding_al,Peacock Siding AL,-18.6797,145.9961,35.6,31.83,3.77,3.77,50cm,,close,Griffith Uni,Ingham201806-DEM-GRID-50cm_3947934_55_0001_0001.tif
port_macquarie_wate,Port Macquarie (Wate,-31.4631,152.8989,32.2,28.44,3.76,3.76,1m,,close,NSW Government,Kempsey201205-LID1-AHD_4906518_56_0002_0002_1m.tif
west_plane_ck_rd,West Plane (Creek Rd) AL,-21.4697,149.1433,61.8,58.04,3.76,3.76,1m,,close,QLD Government,Mackay_2009_Rgn_SW_722000_7624000_2K_DEM_1m.tif
owanyilla_al,Owanyilla AL,-25.6447,152.6242,26.9,23.15,3.75,3.75,1m,,close,QLD Government,Fraser_coast_2022_LGA_SW_462000_7163000_1k_DEM_1m.tif
texas_tm,Texas TM,-28.8675,151.1611,283.3,279.55,3.75,3.75,50cm,,close,QLD Government,Dumaresq_River_Catchment_2023_Prj_SW_320000_6805000_1k_DEM_50cm.tif
takura_reservoir_ale,Takura Resevoir AL,-25.3275,152.7061,84.6,88.32,-3.72,3.72,1m,,close,QLD Government,Fraser_coast_2022_LGA_SW_470000_7198000_1k_DEM_1m.tif
gillies_lookout_aler,Gillies Lookout AL,-17.1706,145.6886,738.1,741.8,-3.7,3.7,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
inkerman_br_aler,Inkerman Br AL,-19.6433,147.3972,18.0,14.3,3.7,3.7,1m,,close,QLD Government,Burdekin_2009_Prj_SW_541000_7827000_1K_DEM_1m.tif
croftby_al,Croftby AL,-28.1481,152.57,173.0,169.31,3.69,3.69,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_457000_6886000_1K_DEM_1m.tif
sunday_ck_rd_al,Sunday Ck Rd AL,-25.3947,151.6678,93.2,96.85,-3.65,3.65,1m,,close,QLD Government,BurnettRivYendaMingo_2014_Loc_SW_365000_7190000_1K_DEM_1m.tif
carbrook_riedel_rd,Carbrook (Riedel Rd) AL,-27.7,153.2833,8.9,5.27,3.63,3.63,1m,,close,QLD Government,Logan_2009_LGA_SW_527000_6935000_1K_DEM_1m.tif
forbesdale_barringt,Forbesdale (Barrington River),-32.038,151.8667,141.0,137.37,3.63,3.63,2m,,close,NSW Government,Dungog201803-LID2-AHD_3926454_56_0002_0002_2m.tif
alligator_ck_aler,Alligator Creek AL,-19.3869,146.9578,10.7,7.11,3.59,3.59,1m,,close,QLD Government,Townsville_2018_Prj_SW_495000_7856000_1.0K_DEM_1m.tif
coopers_shoot_repeat,Coopers Shoot Repeater,-28.6777,153.596,123.0,126.59,-3.59,3.59,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5586827_56_0001_0001.tif
toowoomba_radar,Toowoomba Radar,-27.2742,151.9931,752.1,755.68,-3.58,3.58,1m,,close,QLD Government,Toowoomba_2010_Rgn_SW_400000_6982000_1K_DEM_1m.tif
bowen_pump_station_a,Bowen PS AL,-20.0089,148.2044,9.6,6.03,3.57,3.57,1m,,close,QLD Government,Whitsunday_2009_Ctl_SW_625000_7787000_1K_DEM_1m.tif
deeragun_al,Deeragun AL,-19.2797,146.6486,26.0,22.43,3.57,3.57,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4637868_55_0001_0001.tif
ravenswood_al,Ravenswood AL,-20.1011,146.9069,288.8,285.24,3.56,3.56,1m,,close,QLD Government,Ravenswood_2012_Twn_SW_490000_7777000_1K_DEM_1m.tif
mulgowie_al,Mulgowie AL,-27.7297,152.3644,145.0,141.46,3.54,3.54,1m,,close,QLD Government,LockyerValleySouth_2011_Rgn_SW_437000_6932000_1K_DEM_1m.tif
hodgsonvale_rd_tm,Hodgson Vale (Carroll Rd) TM,-27.6664,151.9491,514.0,510.51,3.49,3.49,1m,,close,QLD Government,Toowoomba_2010_Rgn_SW_396000_6939000_1K_DEM_1m.tif
upper_black_river_al,Upper Black River AL,-19.3422,146.5017,82.4,78.91,3.49,3.49,50cm,,close,Griffith Uni,Townsville201305-DEM-GRID-50cm_4477861_55_0001_0001.tif
corfield_tm,Corfield Tm,-21.7161,143.3742,255.0,251.52,3.48,3.48,1m,,close,QLD Government,Corfield_2013_Twn_SW_745000_7596000_1K_DEM_1m.tif
bones_knob_al,Bones Knob AL,-17.2206,145.4469,935.4,938.86,-3.46,3.46,50cm,,close,Griffith Uni,Atherton201808-DEM-GRID-50cm_3348095_55_0001_0001.tif
