id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
ulladulla_erts,Ulladulla (ERTS),-35.365,150.482,33.99,1m,1.0,NSW Government,Ulladulla201105-LID1-AHD_2706082_56_0002_0002_1m.tif
underwood_millers_rd_al,Underwood (Millers Rd) AL,-27.612,153.108,68.97,1m,1.0,QLD Government,Logan_2017_LGA_SW_510500_6945500_0.5K_DEM_1m.tif
upper_17_mile_creek,Upper 17 Mile Creek,-14.189,132.395,210.8,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_adelaide_river,Upper Adelaide River,-13.482,131.118,211.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_allyn_township,Upper Allyn Township,-32.162,151.491,303.78,2m,2.0,NSW Government,Camberwell201805-LID2-AHD_3566440_56_0002_0002_2m.tif
upper_bell_ck_al,Upper Bell Ck AL,-24.15,150.678,302.52,50cm,0.5,Griffith Uni,Gladstone201307-DEM-GRID-50cm_2647327_56_0001_0001.tif
upper_bells_ck_north_al,Upper Bells Ck North AL,-26.806,153.041,13.49,1m,1.0,QLD Government,SunshineCoast_2014_LGA_SW_504000_7035000_1K_DEM_1m.tif
upper_bells_ck_south_al,Upper Bells Ck South AL,-26.845,153.036,12.05,1m,1.0,QLD Government,SunshineCoast_2014_LGA_SW_503000_7030000_1K_DEM_1m.tif
upper_belyando_tm,Upper Belyando Tm,-23.1131,146.785,289.48,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_blessington,Upper Blessington,-41.462,147.57,427.49,1m,1.0,TAS Government,NorthEast2012-DEM-1m_5475409_55.tif
upper_bond_springs,Upper Bond Springs,-23.4537,134.001,780.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_bowman,Upper Bowman,-31.95,151.792,289.86,2m,2.0,NSW Government,UpperManning201803-LID2-AHD_3846464_56_0002_0002_2m.tif
upper_caboolture_al,Upper Caboolture AL,-27.0997,152.8911,18.36,1m,1.0,QLD Government,Moreton_Bay_2018_LGA_SW_489000_7002000_1k_DEM_1m.tif
upper_caboolture_mcclure_rd_al,Upper Caboolture (McClure Rd) AL,-27.086,152.84,162.86,1m,1.0,QLD Government,MoretonBay_2009_LGA_SW_484000_7004000_1K_DEM_1m.tif
upper_chichester_simmonds,Upper Chichester (Simmonds),-32.171,151.594,242.06,2m,2.0,NSW Government,Dungog201805-LID2-AHD_3666438_56_0002_0002_2m.tif
upper_claude_r_al,Upper Claude R AL,-24.474,146.965,428.95,50cm,0.5,Griffith Uni,Emerald201803-DEM-GRID-50cm_4967293_55_0001_0001.tif
upper_clumber_al,Upper Clumber AL,-28.123,152.442,485.54,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_445000_6889000_1K_DEM_1m.tif
upper_colo_swc_colo_river,Upper Colo Swc (Colo River),-33.425,150.725,41.31,1m,1.0,NSW Government,StAlbans201105-LID1-AHD_2886298_56_0002_0002_1m.tif
upper_cressbrook_alert,Upper Cressbrook AL,-27.2597,152.1525,306.35,1m,1.0,QLD Government,Toowoomba_2010_Rgn_SW_416000_6984000_1K_DEM_1m.tif
upper_darkwood,Upper Darkwood,-30.451,152.623,139.56,2m,2.0,NSW Government,Dorrigo201801-LID2-AHD_4626630_56_0002_0002_2m.tif
upper_dawson_tm,Upper Dawson TM,-25.4227,148.6355,442.84,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_doonan_al,Upper Doonan AL,-26.45,153.028,20.32,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_502000_7074000_1K_DEM_1m.tif
upper_esk_south_esk_river,Upper Esk (South Esk River),-41.433,147.72,360.41,1m,1.0,TAS Government,NorthEast2010-DEM-1m_5605412_55.tif
upper_fergusson_river,Upper Fergusson River,-14.011,132.208,185.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_gracemere_aler,Upper Gracemere Aler,-23.5517,150.3987,128.65,1m,1.0,QLD Government,Rockhampton_2015_Prj_SW_234000_7392000_1K_DEM_1m.tif
upper_horton_dunbeacon,Upper Horton (Dunbeacon),-30.156,150.389,392.15,5m,5.0,NSW Government,Horton201209-PHO3-AHD_2486660_56_0002_0002_5m.tif
upper_kedron_al,Upper Kedron AL,-27.41,152.923,77.97,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_492000_6968000_1K_DEM_1m.tif
upper_lamerough_al,Upper Lamerough AL,-26.794,153.061,13.8,1m,1.0,QLD Government,SunshineCoast_2014_LGA_SW_506000_7036000_1K_DEM_1m.tif
upper_markwell,Upper Markwell,-32.327,152.193,26.35,1m,1.0,NSW Natural Resorces Commision,Bulahdelah2022-DEM-AHD-1m_424000-6423000_56_500m_500m.tif
upper_missabotti_mi,Upper Missabotti (Missabotti Road),-30.564,152.7869,115.45,2m,2.0,NSW Government,Macksville201707-LID2-AHD_4786618_56_0002_0002_2m.tif
upper_monal_al,Upper Monal AL,-24.6133,151.1139,320.97,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_myall_creek,Upper Myall Creek,-32.345,151.65,217.71,1m,1.0,NSW Government,Dungog201601-LID1-AHD_3726420_56_0002_0002_1m.tif
upper_pappinbarra_hillcrest,Upper Pappinbarra (Hillcrest),-31.2821,152.4315,220.65,2m,2.0,NSW Government,Cowarral201804-LID2-AHD_4446538_56_0002_0002_2m.tif
upper_quilberry_al,Upper Quilberry AL,-26.3328,145.5118,339.79,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_rainbow_al,Upper Rainbow AL,-24.2209,150.7015,547.13,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_retreat_al,Upper Retreat AL,-23.459,147.411,457.23,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_rollands_plains_greenacres,Upper Rollands Plains (Greenacres),-31.232,152.591,90.74,2m,2.0,NSW Government,Kempsey201707-LID2-AHD_4606544_56_0002_0002_2m.tif
upper_rouchel_mount_view,Upper Rouchel (Mount View),-32.102,151.233,537.53,2m,2.0,NSW Government,Camberwell201805-LID2-AHD_3326446_56_0002_0002_2m.tif
upper_russell_rep_aws_660m,Upper Russell (Rep) AWS - 660m,-42.931,146.737,655.69,1m,1.0,TAS Government,CentralAndSouth2013-DEM-1m_4785246_55.tif
upper_sheep_station_creek_al,Upper Sheep Station Creek AL,-26.833,152.435,268.2,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_springbrook_al,Upper Springbrook AL,-28.23,153.28,825.24,1m,1.0,QLD Government,GoldCoast_2009_LGA_SW_527000_6877000_1K_DEM_1m.tif
upper_stuart_ck_al,Upper Stuart Ck AL,-19.391,146.864,36.56,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_485000_7855000_1K_DEM_1m.tif
upper_tallebudgera_al,Upper Tallebudgera AL,-28.2133,153.3306,84.76,1m,1.0,QLD Government,GoldCoast_2009_LGA_SW_532000_6879000_1K_DEM_1m.tif
upper_townsend_creek,Upper Townsend Creek,-16.871,131.858,241.9,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_van_dyke_al,Upper Van Dyke AL,-24.501,147.845,395.93,50cm,0.5,Griffith Uni,Emerald201305-DEM-GRID-50cm_5857290_55_0001_0001.tif
upper_victoria_river,Upper Victoria River,-17.613,130.071,411.67,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_walker_ck_t,Upper Walker Ck T,-17.3522,141.6461,35.22,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_warrego_al,Upper Warrego AL,-25.153,147.16,556.41,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_waterhouse_river,Upper Waterhouse River,-14.114,133.326,269.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
upper_western_ck_al,Upper Western Ck AL,-27.681,152.434,108.8,1m,1.0,QLD Government,Ipswich_2009_LGA_SW_444000_6938000_1K_DEM_1m.tif
upper_wickham_river,Upper Wickham River,-16.957,130.568,245.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
uralla_blue_nobby,Uralla Blue Nobby,-30.718,151.852,1078.1,2m,2.0,NSW Government,Armidale201505-LID2-AHD_3906600_56_0002_0002_2m.tif
uralla_dumaresq_st,Uralla (Dumaresq St),-30.644,151.491,1017.85,5m,5.0,NSW Government,Bendemeer201111-PHO3-AHD_3546608_56_0002_0002_5m.tif
urandangi_tm,Urandangi Tm,-21.6236,138.3093,171.23,1m,1.0,QLD Government,Urandangi_2010_Twn_SW_221000_7606000_1K_DEM_1m.tif
urbenville,Urbenville,-28.474,152.548,370.27,2m,2.0,NSW Government,MountLindesay201709-LID2-AHD_4546850_56_0002_0002_2m.tif
urunga_kalang_river,Urunga,-30.494,153.012,-0.29,1m,1.0,NSW Government,CoffsHarbour201002-LID1-AHD_5006626_56_0002_0002_1m.tif
