ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
92698,18.1,27,62,,,MHz,,MHz,,"Panel (single sector dual slant, 1920-2180 MHz)",RVVPX310.11B-T2 (1920-2180 MHz),CommScope
92699,18.6,29,61,,,MHz,,MHz,,"Panel (single sector dual slant, 2300-2690 MHz)",RVVPX310.11B-T2 (2300-2690 MHz),CommScope
92720,14,20,30,,,MHz,,MHz,,Yagi,YB815-81(H),RFI
92918,3,0,360,,,MHz,,MHz,,Dipole,MA215L26,Amphenol
92962,19.5,25,33,,,MHz,,MHz,,Panel(1sector),T1002M3R011_900,TONGYU
92963,19.5,25,34,,,MHz,,MHz,,Panel(1sector),T1002M3R011_2100,TONGYU
92964,19.8,25,34,,,MHz,,MHz,,Panel(1sector),T1002M3R011_2300,TONGYU
93,15.7,16,23,,,MHz,,MHz,0,Yagi (Vertical Polarisation)-Y,546-2(V),AEA
93030,5,0,360,,,MHz,,MHz,,"Dipole (1x 4 dipole array, 136-174 MHz)",BA40-41,RF Industries
93063,39.3,66,1.8,,,MHz,,MHz,,Parabolic High Performance,VHLPX6-6W/B,Andrew
93087,34.7,61,3.3,,,MHz,,MHz,,Parabolic High Performance,VHLP2-11W/A,Andrew
93107,34.7,61,3.3,,,MHz,,MHz,,Parabolic High Performance,VHLPX2-11W/A,Andrew
93189,32.7,60,4.1,,,MHz,,MHz,,Parabolic High Performance,VHLP1-15/C,Andrew
93202,13.2,20,36,,,MHz,,MHz,,Yagi(MixedPolarisation),YCP4047-13, RF INDUSTRIES
93318,15.4,31.6,90,,,MHz,,MHz,,Panel (Single-Sector),PMP 450m C050045A101A (5150-5925 MHz),Cambium Networks
93351,24.8,29,120,,,MHz,,MHz,,Panel,AEQP_3500_120,NOKIA
93364,15.8,32,70,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (694-790),Commscope
93365,16.4,32,67,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (790-890),Commscope
93366,16.8,33,62,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (880-960),Commscope
93367,17,37,59,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (1695-1880),Commscope
93368,17.6,38,60,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (1850-1990),Commscope
93369,17.8,36,61,,,MHz,,MHz,,Panel(1sector),RRV4-65D-R6 (1920-2180),Commscope
93396,35.7,62,2.7,,,MHz,,MHz,,Parabolic,Am-4-6-CIRC-CR,ceragon
93400,38.9,65,1.8,,,MHz,,MHz,,Parabolic,DPSA-6-6-CR,ceragon
93404,37.2,63,2.3,,,MHz,,MHz,,Parabolic,Am-4-7_8-CIRC-CR,ceragon
93406,40.8,67,1.5,,,MHz,,MHz,,Parabolic,Am-6-7_8-CIRC-CR,ceragon
93409,34.1,60,3.2,,,MHz,,MHz,,Parabolic,Am-2-11W-CIRC-CR,ceragon
93410,40.1,67,1.6,,,MHz,,MHz,,Parabolic,Am-4-11W-CIRC-CR,ceragon
93460,2.1,0,360,,,MHz,,MHz,,Colinear Vertical,COL51-174,RF Industries
93480,35.5,62,2.9,,,MHz,,MHz,,Parabolic High Performance,VHLP4-6W/C,Andrew
93489,17.7,33,64,,,MHz,,MHz,,Cellular,SSPX310R-V2 (3.4),Commscope
93537,16.7,31,67,,,MHz,,MHz,,Panel,RV4-65D-R5-V6_0.7G,COMMSCOPE
93539,17.4,36,62,,,MHz,,MHz,,Panel,RV4-65D-R5-V6_0.9G,COMMSCOPE
93540,16.8,31,62,,,MHz,,MHz,,Panel,RV4-65D-R5-V6_1.8G,COMMSCOPE
93541,17.4,34,63,,,MHz,,MHz,,Panel,RV4-65D-R5-V6_2.1G,COMMSCOPE
93543,18.1,34,61,,,MHz,,MHz,,Panel,RV4-65D-R5-V6_2.5G,COMMSCOPE
93630,34.5,61,3.3,,,MHz,,MHz,,Parabolic,TYA06U10WC-BUBT,TONGYU
