LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
12877176/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877225,20040387_M360_04092025_BOM5_2,,,
12877177/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877226,20040387_M360_04092025_BOM5_3,,,
12877178/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877227,20040387_M360_04092025_BOM5_4,,,
12877179/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877228,20040387_M360_04092025_BOM5_5,,,
12877180/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877229,20040387_M360_04092025_BOM5_6,,,
12877181/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877230,20040387_M360_04092025_BOM5_7,,,
12877182/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877231,20040387_M360_04092025_BOM5_8,,,
12877183/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877232,20040387_M360_04092025_BOM5_9,,,
12877184/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877233,20040387_M360_04092025_BOM5_10,,,
128837/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666406,,,,
128839/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675789,,,,
128841/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675796,,,,
128842/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666407,,,,
12887461/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-22,1,Granted,12887512,,,,
12887508/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-22,1,Granted,12887513,,,,
12887509/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-22,1,Granted,12887514,,,,
12887510/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-22,1,Granted,12887515,,,,
12887511/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-17,2026-08-17,2027-09-22,1,Granted,12887516,,,,
12887947/1,1144588,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-30,2026-03-30,2027-03-23,1,Granted,12889640,20011258_PC684,,,
12891845/1,20060491,2,203,Fixed,Point to Point,2025-10-01,2025-10-01,2026-09-30,1,Granted,12891887,20011258_AUS143_3,,,
12896558/1,1144572,2,200,Fixed,Point to Multipoint,2025-10-10,2025-10-10,2026-11-07,1,Granted,12896739,20011258_ME281_3,,,
12901951/1,20000768,5,501,Maritime Coast,Limited Coast Assigned System,2025-10-24,2025-10-24,2029-06-26,1,Granted,12902748,20056206_App_Sub_014233,,,
12901952/1,20000768,5,501,Maritime Coast,Limited Coast Assigned System,2025-10-24,2025-10-24,2029-06-26,1,Granted,12902749,20056206_App_Sub_014233,,,
12903849/1,20004872,3,308,Land Mobile,Paging System - Interior,2026-04-24,2026-04-24,2027-04-30,1,Granted,12904145,20011258_GD1659,,,
12903859/1,20039659,2,203,Fixed,Point to Point,2025-10-29,2025-10-29,2026-10-28,1,Granted,12904147,1138777_KESTREL_4_8GHz,,,
12914229/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-18,2025-11-18,2026-11-17,1,Granted,12914646,,,,
12914230/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-18,2025-11-18,2026-11-17,1,Granted,12914647,,,,
12914596/1,20025709,3,302,Land Mobile,Ambulatory System,2025-12-16,2025-12-16,2026-12-15,1,Granted,12914871,20025735_250523,,,
12919887/1,48814,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-28,2026-05-28,2027-06-12,1,Granted,12920008,20011258_ME265_2,,,
12921200/1,564292,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-03,2026-07-03,2027-07-08,1,Granted,12921924,20064714_ME288,,,
129219/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675798,,,,
12927968/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,12928140,20056206_App_Sub_014395,,,
12931399/1,435100,2,200,Fixed,Point to Multipoint,2025-12-15,2025-12-15,2026-09-23,1,Granted,12931408,20016317_JSMFAC15672,,,
12931400/1,435100,2,200,Fixed,Point to Multipoint,2025-12-15,2025-12-15,2026-09-23,1,Granted,12931409,20016317_JSMFAC15673,,,
129351/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666418,,,,
129354/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666420,,,,
129372/1,1142834,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-12,2025-09-12,2026-10-19,1,Granted,9666421,,,,
129374/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675810,,,,
12937825/1,20017363,2,203,Fixed,Point to Point,2025-12-22,2025-12-22,2026-12-21,1,Granted,12937894,1138777_OP_2025_7_1_11GHz,,,
12937827/1,20017363,2,203,Fixed,Point to Point,2025-12-22,2025-12-22,2026-12-21,1,Granted,12937896,1138777_OP_2025_7_2_11GHz,,,
12946400/1,8129031,2,206,Fixed,Point to Point (Self Coordinated),2026-04-22,2026-04-22,2027-05-31,1,Granted,12946605,20056206_App_Sub_014459,,,
129530/1,20004872,3,307,Land Mobile,Paging System - Exterior,2026-04-24,2026-04-24,2027-04-30,1,Granted,9666422,,,,
12961962/1,1146331,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-22,2026-05-22,2027-06-01,1,Granted,12962492,20056206_App_Sub_014521,,,
129760/1,1144661,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-15,2025-12-15,2026-10-30,1,Granted,9666426,,,,
13003095/1,1147602,5,501,Maritime Coast,Limited Coast Assigned System,2026-06-07,2026-06-07,2027-07-17,1,Granted,13003426,20056206_App_Sub_014661,,,
13003096/1,1147602,5,501,Maritime Coast,Limited Coast Assigned System,2026-06-07,2026-06-07,2027-07-17,1,Granted,13003427,20056206_App_Sub_014661,,,
13004000/1,20058561,3,302,Land Mobile,Ambulatory System,2026-03-12,2026-03-12,2027-03-11,1,Granted,13004308,1103264_DB2759,,,
