LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
10421491/1,20019469,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-27,2025-11-27,2027-01-05,1,Granted,10421781,20011258_RI57,,,
10422150/1,1145238,3,304,Land Mobile,Land Mobile System - > 30MHz,2022-07-02,2022-07-02,2026-07-25,1,Granted,10422217,1148302_006398,,,
10423139/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10423657,20016317_JSMFAC3370,,,
10424278/1,20000768,5,501,Maritime Coast,Limited Coast Assigned System,2024-06-21,2024-06-21,2029-06-26,1,Granted,10425031,1148302_006441,,,
10424279/1,20000768,5,501,Maritime Coast,Limited Coast Assigned System,2024-06-21,2024-06-21,2029-06-26,1,Granted,10425032,1148302_006441,,,
10425801/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10426096,1148302_006484,,,
10426024/2,20017363,2,203,Fixed,Point to Point,2026-03-03,2026-03-03,2027-04-11,1,Granted,10460071,1138777_APP_OP-49984,,,
10426025/1,20017363,2,203,Fixed,Point to Point,2026-03-03,2026-03-03,2027-04-11,1,Granted,10426571,1138777_APP_OP-49794-49795-49796,,,
10426026/1,20017363,2,203,Fixed,Point to Point,2026-03-03,2026-03-03,2027-04-11,1,Granted,10426572,1138777_APP_OP-49794-49795-49796,,,
10427055/1,79946,2,203,Fixed,Point to Point,2026-05-11,2026-05-11,2027-05-30,1,Granted,10427404,1131121_006510,,,
10430100/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10430134,20011258_MSQ09_1,,,
104319/1,49686,5,501,Maritime Coast,Limited Coast Assigned System,2025-11-21,2025-11-21,2026-12-31,1,Granted,9633726,,,,
104320/1,49686,5,501,Maritime Coast,Limited Coast Assigned System,2025-11-21,2025-11-21,2026-12-31,1,Granted,9633729,,,,
10432289/193,20036348,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-21,2026-05-21,2027-06-30,1,Granted,12454387,20056436_DEL044,,,
104326/1,49686,5,501,Maritime Coast,Limited Coast Assigned System,2025-11-21,2025-11-21,2026-12-31,1,Granted,9633761,,,,
10432926/1,36668,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-26,2025-10-26,2026-12-05,1,Granted,10433430,1148302_006622,,,
10434354/2,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10457710,20016317_JSMFAC3631,,,
10434355/1,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10434914,20016317_JSMFAC3472,,,
10434373/1,79403,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-22,2026-05-22,2027-06-04,1,Granted,10434940,20025735_180248,,,
10435053,20053843,85,850,Spectrum,1800 MHz Band,2024-08-22,2018-05-18,2028-06-17,1,Granted,,,,,
10435528/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436355,20016317_JSMFAC3497,,,
10435530/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436357,20016317_JSMFAC3497,,,
10435539/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436366,20016317_JSMFAC3497,,,
10435561/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436388,20016317_JSMFAC3499,,,
10435562/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436389,20016317_JSMFAC3499,,,
10435578/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436405,20016317_JSMFAC3499,,,
10435584/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436415,20016317_JSMFAC3499,,,
10435728/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436498,20016317_JSMFAC3502,,,
10435729/2,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10643857,20016317_JSMFAC3502,,,
10435734/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436516,20016317_JSMFAC3502,,,
10435748/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436530,20016317_JSMFAC3500,,,
10435759/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10436549,20016317_JSMFAC3500,,,
104424/1,49932,5,502,Maritime Coast,Limited Coast Marine Rescue,2025-11-19,2025-11-19,2026-12-29,1,Granted,9633771,,,,
10443283/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10444127,20030429_MRT_MSQ10_1,,,
10443302/2,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10510392,20011258_MSQ10_vary,,,
10444316/1,1146331,2,200,Fixed,Point to Multipoint,2026-05-22,2026-05-22,2027-06-01,1,Granted,10444511,20016317_JSMFAC3593,,,
10447108/3,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,12854095,1139435_P2PSubmission_20250716_2,,,
10448721/1,79601,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10449489,20016317_JSMFAC3617,,,
104490/1,50110,5,501,Maritime Coast,Limited Coast Assigned System,2025-11-21,2025-11-21,2026-12-31,1,Granted,9633779,,,,
104566/1,50237,5,502,Maritime Coast,Limited Coast Marine Rescue,2025-11-21,2025-11-21,2026-12-31,1,Granted,9633785,,,,
10459542/2,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,11713038,1139435_P2PSubmission_20220714_12,,,
10461146/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10461549,20030429_LMS_RCS322_1,,,
10461147/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10461550,20030429_LMS_RCS322_2,,,
10461153/2,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,11244333,20038343_vary_LMS_RCS396_2_resub,,,
10461204/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10461560,20030429_LMS_RCS322_4,,,
10461205/2,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,11244332,20038343_vary_LMS_RCS396_1_resub,,,
10461214/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10461562,20030429_LMS_RCS322_6,,,
10461217/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10461563,20030429_LMS_RCS322_7,,,
10461339/2,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,11142000,1139435_P2PSubmission_20201030_1,,,
10469418/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10469958,20016317_JSMFAC3741,,,
10469419/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10469959,20016317_JSMFAC3741,,,
10469469/3,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,11713037,1139435_P2PSubmission_20220714_11,,,
10470110/1,20013543,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-24,2026-05-24,2027-07-02,1,Granted,10470141,,,,
10474504/1,82694,2,203,Fixed,Point to Point,2025-11-26,2025-11-26,2026-12-01,1,Granted,10475618,1130096_EG143C,,,
10475980/1,82694,2,203,Fixed,Point to Point,2025-11-26,2025-11-26,2026-12-01,1,Granted,10476418,1130096_EG143D,,,
10476077/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10476623,1148302_007175,,,
104778/1,50967,5,502,Maritime Coast,Limited Coast Marine Rescue,2026-05-21,2026-05-21,2027-06-30,1,Granted,9633800,,,,
104787/1,50967,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-21,2026-05-21,2027-06-30,1,Granted,9633803,,,,
10480277/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480595,20011258_MSQ11_1,,,
10480278/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480596,20011258_MSQ11_2,,,
10480279/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480597,20011258_MSQ11_3,,,
10480280/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480598,20011258_MSQ11_4,,,
10480281/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480599,20011258_MSQ11_5,,,
10480282/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480600,20011258_MSQ11_6,,,
10480283/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480601,20011258_MSQ11_7,,,
10480284/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480602,20011258_MSQ11_8,,,
10480285/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480603,20011258_MSQ11_9,,,
10480286/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480608,20011258_MSQ11_10,,,
10480287/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480609,20011258_MSQ11_11,,,
10480288/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480610,20011258_MSQ11_12,,,
10480289/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480611,20011258_MSQ11_13,,,
10480290/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480612,20011258_MSQ11_14,,,
10480291/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480613,20011258_MSQ11_15,,,
10480292/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480614,20011258_MSQ11_16,,,
10480293/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480615,20011258_MSQ11_17,,,
10480294/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480616,20011258_MSQ11_18,,,
10480295/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480617,20011258_MSQ11_19,,,
10480296/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480618,20011258_MSQ11_20,,,
10480297/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10480619,20011258_MSQ11_21,,,
104830/1,51105,5,502,Maritime Coast,Limited Coast Marine Rescue,2025-01-17,2025-01-17,2030-02-26,1,Granted,9633807,,,,
10487506/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488266,20016317_JSMFAC3899,,,
10487507/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488267,20016317_JSMFAC3899,,,
10487508/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-10,2026-02-09,2027-03-01,1,Granted,10488268,20016317_JSMFAC3899,,,
10487509/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488269,20016317_JSMFAC3899,,,
10487512/3,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,11433841,20016317_JSMFAC8866,,,
10487513/3,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-10,2026-02-10,2027-03-01,1,Granted,11433842,20016317_JSMFAC8866,,,
10487514/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10616932,20016317_JSMFAC4984,,,
10487515/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10616933,20016317_JSMFAC4984,,,
10487516/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10616930,20016317_JSMFAC4984,,,
10487517/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10616931,20016317_JSMFAC4984,,,
10487518/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488278,20016317_JSMFAC3899,,,
10487519/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488279,20016317_JSMFAC3899,,,
10487520/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488280,20016317_JSMFAC3899,,,
10487521/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488281,20016317_JSMFAC3899,,,
10487522/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488282,20016317_JSMFAC3899,,,
10487523/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488306,20016317_JSMFAC3899,,,
10487524/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488307,20016317_JSMFAC3899,,,
10487525/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488308,20016317_JSMFAC3899,,,
10487526/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10617386,20016317_JSMFAC4984,,,
10487527/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10617387,20016317_JSMFAC4984,,,
10487528/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10616929,20016317_JSMFAC4984,,,
10487529/2,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10617388,20016317_JSMFAC4984,,,
10487530/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488313,20016317_JSMFAC3899,,,
10487531/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488314,20016317_JSMFAC3899,,,
10487532/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488315,20016317_JSMFAC3899,,,
10487533/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488316,20016317_JSMFAC3899,,,
10487534/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488317,20016317_JSMFAC3899,,,
10487535/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488318,20016317_JSMFAC3899,,,
10487536/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488319,20016317_JSMFAC3899,,,
10487537/1,56139,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-03-01,1,Granted,10488320,20016317_JSMFAC3899,,,
10487770/1,20017363,2,203,Fixed,Point to Point,2026-06-22,2026-06-22,2027-07-30,1,Granted,10488329,20029601_APP_OP-50088,,,
10491474/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308214,20056206_App_Sub_012121,,,
10491475/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308215,20056206_App_Sub_012121,,,
10491476/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308216,20056206_App_Sub_012121,,,
10491477/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308217,20056206_App_Sub_012121,,,
10491909/1,5832,3,307,Land Mobile,Paging System - Exterior,2026-07-04,2026-07-04,2027-08-12,1,Granted,10493057,,,,
10492206/3,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,10643780,1139435_P2PSubmission_20190507_5,,,
10498637/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10499663,20016317_JSMFAC3986,,,
10498638/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10499664,20016317_JSMFAC3986,,,
10499060/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10499854,20016317_JSMFAC3991,,,
10500352/1,20017363,2,203,Fixed,Point to Point,2026-07-19,2026-07-19,2027-08-27,1,Granted,10500743,20029601_APP_OP-50110,,,
10502028/1,17375,2,201,Fixed,Point to Multipoint - Land Mobile Spec,2025-12-19,2025-12-19,2027-01-01,1,Granted,10502711,20006728_PMHC_VHF_ptmpt_300818,,,
10502029/1,17375,2,201,Fixed,Point to Multipoint - Land Mobile Spec,2025-12-19,2025-12-19,2027-01-01,1,Granted,10502712,20006728_PMHC_VHF_ptmpt_300818,,,
10510197/1,2662,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-01,2025-09-01,2026-09-13,1,Granted,10510447,1148302_007670,,,
10512606/1,1144665,2,200,Fixed,Point to Multipoint,2025-06-25,2025-06-25,2026-06-30,10,Expired,10513752,20011258_GD347_1,,,
10512608/1,1144665,2,200,Fixed,Point to Multipoint,2025-06-25,2025-06-25,2026-06-30,10,Expired,10513754,20011258_GD347_2,,,
10518460/1,515835,2,203,Fixed,Point to Point,2025-09-29,2025-09-29,2026-09-27,1,Granted,10519916,1143026_GD367,,,
10521656/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10522815,1148302_007784,,,
10521657/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10522816,1148302_007784,,,
10521658/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10522817,1148302_007784,,,
10521665/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10522818,1148302_007779,,,
10521666/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10522819,1148302_007779,,,
10521667/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10522820,1148302_007779,,,
10521668/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10524047,1148302_007779,,,
10534456/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10535600,1148302_007856,,,
10534457/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10535601,1148302_007856,,,
10535362/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10536090,20016317_JSMFAC4234,,,
10535364/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,11690375,20016317_JSMFAC9655,,,
10535366/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10536094,20016317_JSMFAC4234,,,
10541775/1,20036543,3,308,Land Mobile,Paging System - Interior,2025-10-29,2025-10-29,2026-10-29,1,Granted,10542197,1130096_PR171B,,,
10542915/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,10544250,1148302_007897,,,
105461/2,51920,2,203,Fixed,Point to Point,2025-08-15,2025-08-15,2026-07-26,1,Granted,11192216,20038343_vary_400MHz_P2P_KCM28_2,,,
105463/1,51920,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-15,2025-08-15,2026-07-26,1,Granted,9801696,,,,
10548370/1,210019,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-25,2025-09-25,2026-11-04,1,Granted,10548420,,,,
10550350/2,20054518,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-03,2025-11-03,2026-11-06,1,Granted,11970993,20011258_GD387,,,
10551517/1,20038341,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-08,2026-01-08,2026-12-10,1,Granted,10552387,20025735_180624,,,
10552353/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12108741,1138777_NB2_62_2_10552353var,,,
10552354/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12108740,1138777_NB2_62_1_1_10552354var,,,
10552365/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12153533,1138777_NB2_61_1_3_10552365var,,,
10559567/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10559678,20011258_RCS331_1,,,
10559568/1,1147832,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-29,2026-04-29,2027-05-06,1,Granted,10559679,20011258_RCS331_2,,,
10560692/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10561878,1131121_008019,,,
10563395/1,20017363,2,203,Fixed,Point to Point,2025-10-18,2025-10-18,2026-11-26,1,Granted,10563812,20029601_APP_OP-50236,,,
10563652/1,525851,2,203,Fixed,Point to Point,2026-05-22,2026-05-22,2027-06-30,1,Granted,10564191,1148302_008047,,,
10565370/1,1144303,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-19,2025-10-19,2026-11-28,1,Granted,10565398,,,,
10565397/1,1144303,2,203,Fixed,Point to Point,2025-10-19,2025-10-19,2026-11-28,1,Granted,10565401,,,,
10565710/1,20013543,2,203,Fixed,Point to Point,2025-10-20,2025-10-20,2026-11-29,1,Granted,10565785,,,,
10566020/1,210019,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-20,2025-10-20,2026-11-29,1,Granted,10566021,,,,
10566248/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10566718,20011258_RCS333_1,,,
10566493/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10566727,20011258_RCS333_2,,,
10566494/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10566728,20011258_RCS333_3,,,
10566495/1,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10566729,20011258_RCS333_4,,,
10566700/1,20038569,3,307,Land Mobile,Paging System - Exterior,2025-10-28,2025-10-28,2026-12-03,1,Granted,10566764,20011258_GD406,,,
10568965/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449814,1148302_App_Sub_007905,,,
10568966/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449815,1148302_App_Sub_007905,,,
10568967/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449816,1148302_App_Sub_007905,,,
10568968/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11449817,1148302_App_Sub_007905,,,
10568971/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11775893,20006728_NBN_ptpt_4BIL_VAR1_120922,,,
10568972/2,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11775894,20006728_NBN_ptpt_4BIL_VAR2_120922,,,
10571400/2,20026976,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-10,2026-06-10,2027-07-17,1,Granted,12876921,20038343_LMS_GD413,,,
10574882/1,36185,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-04,2026-03-04,2027-01-19,1,Granted,10575976,20038343_LMS_SCC29_1_2,,,
10575655/1,31823,2,203,Fixed,Point to Point,2026-07-14,2026-07-14,2027-07-01,1,Granted,10578127,1148302_App_Sub_000526,,,
105762/1,52485,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-21,2026-05-21,2027-06-30,1,Granted,9633816,,,,
105767/1,52485,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-21,2026-05-21,2027-06-30,1,Granted,9633821,,,,
105769/1,52485,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-21,2026-05-21,2027-06-30,1,Granted,9633824,,,,
105770/2,52485,5,501,Maritime Coast,Limited Coast Assigned System,2026-05-21,2026-05-21,2027-06-30,1,Granted,12055979,,,,
10578285/1,6952,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-09,2026-01-09,2026-12-21,1,Granted,10578480,1144855_CessnockRadio_LM,,,
10580189/1,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10580343,20016317_JSMFAC4611,,,
10580193/1,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10580347,20016317_JSMFAC4611,,,
10581159/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10581395,20016317_JSMFAC4615,,,
10584451/1,20034472,3,307,Land Mobile,Paging System - Exterior,2025-06-27,2025-06-27,2026-06-30,10,Expired,10585056,1131121_008200,,,
