Title,Station Number,Lat,Long,Basin,LGA Name,Location Types
Eversfield Tm,544036,-26.6569,147.4481,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
Mt Lindsay Alert,544037,-25.325,146.8569,Warrego River,Murweh Shire,Rain Gauge / Repeater
Bogarella Crossing Alert,544038,-25.3381,147.1006,Warrego River,Murweh Shire,Rain Gauge / Water Level
Cooks Tank Alert,544039,-25.4964,146.3072,Warrego River,Murweh Shire,Rain Gauge / Repeater
Willara Alert,544040,-25.5414,146.9117,Warrego River,Murweh Shire,Rain Gauge / Repeater
Old Tambo Rd Alert,544041,-25.6053,146.5025,Warrego River,Murweh Shire,Rain Gauge / Water Level
Caroline Crossing Alert,544042,-25.6147,146.7489,Warrego River,Murweh Shire,Rain Gauge / Water Level
Oakwood Alert,544044,-25.6656,146.1228,Warrego River,Murweh Shire,Rain Gauge / Water Level
Biddenham Alert,544047,-25.8033,146.4253,Warrego River,Murweh Shire,Rain Gauge / Water Level
Augathella Rptr Alert,544048,-25.8044,146.5894,Warrego River,Murweh Shire,Rain Gauge / Repeater
Ward  R Crossing Alert,544049,-25.9497,146.1136,Warrego River,Murweh Shire,Rain Gauge / Water Level
Dunvegan Alert,544052,-26.1367,146.6942,Warrego River,Murweh Shire,Rain Gauge / Repeater
Calowrie Alert,544053,-26.1697,146.1981,Warrego River,Murweh Shire,Rain Gauge / Repeater
Moyallen Alert,544054,-26.2125,147.0797,Warrego River,Murweh Shire,Rain Gauge / Repeater
Adavale Road Alert,544056,-26.3264,146.0978,Warrego River,Murweh Shire,Rain Gauge / Water Level
Warilda Alert,544058,-26.1267,145.6694,Warrego River,Murweh Shire,Rain Gauge / Water Level
Cooladdi Alert,544059,-26.6333,145.4636,Paroo River,Murweh Shire,Rain Gauge / Water Level
Ravenscourt Alert,544060,-26.0219,145.7233,Warrego River,Murweh Shire,Rain Gauge / Repeater
Loddon Alert,544061,-26.51,145.6172,Paroo River,Murweh Shire,Rain Gauge / Repeater
Sommariva Al,544063,-26.5038,146.6662,Warrego River,Murweh Shire,Rain Gauge / Repeater
Patricia Park Tm,544064,-25.6894,144.7657,Bulloo River,Quilpie Shire,Rain Gauge / Water Level
Cliffdale Al,544066,-27.2265,145.4986,Paroo River,Paroo Shire,Rain Gauge / Repeater
Allambie Al,544068,-26.9033,145.3525,Paroo River,Murweh Shire,Rain Gauge / Repeater
Abbieglassie Al,544070,-27.2919,147.4838,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
Westcourt Alert,544071,-27.1313,147.4792,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Repeater
Barta Park Tm,544073,-27.0711,147.8653,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
Humeburn Al,544075,-27.3984,145.2076,Paroo River,Paroo Shire,Rain Gauge / Water Level
Glengarry Al,544076,-26.5705,147.0975,Condamine-Culgoa Rivers,Murweh Shire,Rain Gauge / Repeater
Ularunda Alert,544077,-26.7972,147.1194,Condamine-Culgoa Rivers,Murweh Shire,Rain Gauge / Repeater
Mariala National Park Tm,544078,-25.9892,145.0188,Bulloo River,Quilpie Shire,Rain Gauge
Boondoon Tm,544079,-25.702,145.1291,Bulloo River,Quilpie Shire,Rain Gauge
Alroy Crossing Tm,544080,-27.8055,144.7079,Paroo River,Paroo Shire,Rain Gauge / Water Level
Ballera Jackson Road Crossing Tm,545003,-27.5006,141.9317,Cooper Creek,Bulloo Shire,Water Level
South Comongin Tm,545004,-26.8801,144.3289,Bulloo River,Quilpie Shire,Rain Gauge / Water Level
Soonah Crossing Tm,545005,-27.7078,144.0048,Bulloo River,Bulloo Shire,Rain Gauge / Water Level
Nockatunga Tm,545006,-27.6983,142.7523,Cooper Creek,Bulloo Shire,Rain Gauge / Water Level
Winbin Creek Tm,545008,-26.6189,144.5124,Bulloo River,Quilpie Shire,Rain Gauge / Water Level
Yappi Creek Tm,545009,-27.9039,143.8009,Bulloo River,Bulloo Shire,Rain Gauge / Water Level
Milroy Tm,545010,-26.0556,144.3533,Bulloo River,Quilpie Shire,Rain Gauge / Water Level
